trial	condition	image	target	fixationTime	rtStart	rtEnd	rt	responseX	responseY	responseProp	pointsThisRound	pointsTotal	preFeedbackTime
90	6	2	0.5904074053	0.4252762186	5306.923899	5310.712371	3.788471347	799	478	0.779850473	82	8043	0.4310149866
91	6	2	0.1171711334	0.5341721462	5317.782109	5318.90118	1.11907038	799	478	0.779850473	34	8077	0.4308238046
92	5	1	0.6541058788	0.4823731562	5323.071481	5325.750155	2.678674136	807	500	0.6805486922	98	8175	0.4418733232
93	1	5	0.3204123701	0.4825159766	5333.149863	5334.448737	1.298874795	805	585	0.2968827212	98	8273	0.5108504903
94	3	4	0.6542237383	0.5157107545	5339.958832	5342.517514	2.558681742	808	544	0.4819451308	83	8356	0.4876909555
95	4	6	0.669709525	0.4000789057	5349.88734	5352.785943	2.898603266	808	544	0.4819451308	82	8438	0.4146557294
96	2	3	0.6808259831	0.5191011678	5360.285713	5361.844506	1.558792076	813	502	0.6715212576	100	8538	0.4000023003
97	2	3	0.6889316482	0.4447269004	5369.334323	5369.69332	0.358996436	813	502	0.6715212576	99	8637	0.5944943664
98	1	5	0.3272490362	0.5547301334	5377.533069	5379.091868	1.558799204	804	584	0.3013964385	98	8735	0.5312025664
99	3	4	0.6787089702	0.411573139	5384.551992	5386.730696	2.178703359	804	516	0.6083292152999999	93	8828	0.5824417329
100	5	1	0.6740663408999999	0.4136516404	5394.360491	5395.859312	1.498821253	807	508	0.6444389538	98	8926	0.5056190077
101	6	2	0.1371629631	0.4481550344	5403.409094	5404.65799	1.248895878	809	506	0.6534663884	49	8975	0.5939066911999999
102	4	6	0.3487796219	0.477733654	5409.10827	5410.497088	1.3888182	801	618	0.1479300501	80	9055	0.5377694837
103	1	5	0.338791679	0.4143423627	5416.107126	5418.965743	2.85861711	802	585	0.2968827212	96	9151	0.5826770784999999
104	4	6	0.6779305172	0.4803700658	5424.615827	5426.524577	1.908750266	814	485	0.7482544518000001	93	9244	0.5047595442
105	6	2	0.6070270719999999	0.5678197368	5434.214347	5435.893189	1.67884149	814	496	0.6986035615	91	9335	0.5928644406
106	3	4	0.3416393726	0.5658021337	5443.252968	5444.511798	1.258829339	813	510	0.6354115192000001	71	9406	0.5433365595
107	5	1	0.6685833455	0.5059357052	5450.171908	5451.890695	1.718786876	813	504	0.662493823	100	9506	0.5612182275000001
108	2	3	0.6680011371	0.4145109708	5459.440523	5460.779322	1.338799369	813	504	0.662493823	100	9606	0.5213636995000001
109	3	4	0.3401119467	0.4549758343	5468.319157	5471.427693	3.108535928	813	504	0.662493823	68	9674	0.5904458832
110	4	6	0.6670564296	0.5396732574000001	5477.157781	5478.426588	1.26880699	809	578	0.3284787424	67	9741	0.4203427786
111	2	3	0.6573765293	0.422173712	5485.826432	5488.65505	2.828618014	814	511	0.6308978019	98	9839	0.5605226673
112	5	1	0.6671240701	0.5172499843	5496.250565	5497.933642	1.683077508	816	505	0.6579801057	100	9939	0.4545021435
113	1	5	0.3498322626	0.5986136301	5505.543394	5508.382015	2.838621039	808	583	0.3059101558	96	10035	0.5008891148
114	6	2	0.393189615	0.5683848157	5514.102086	5516.710766	2.608680331	820	545	0.4774314135	92	10127	0.4573848003
115	4	6	0.3476744969	0.4619372519	5522.540822	5522.999771	0.4589488527	820	545	0.4774314135	88	10215	0.4622473689
116	3	4	0.661683909	0.5292563488000001	5528.629865	5529.58876	0.9588951114000001	818	569	0.3691021981	71	10286	0.5095808711000001
117	6	2	0.2517167037	0.5717553695000001	5537.198583	5538.557362	1.35877976	820	510	0.6354115192000001	62	10348	0.5002300109
118	1	5	0.3355752254	0.4756369148	5543.60755	5544.756453	1.148902692	814	582	0.3104238731	98	10446	0.4423465496
119	2	3	0.6875241532	0.448408238	5550.21654	5552.205289	1.988748521	816	510	0.6354115192000001	95	10541	0.4191604757
120	5	1	0.6794584157	0.4079250979	5559.715107	5561.333879	1.618771737	819	495	0.7031172788	98	10639	0.466896069
121	6	2	0.5675867118	0.4126920275	5568.853702	5574.581855	5.728152417	815	543	0.4864588481	92	10731	0.4170957752
122	3	4	0.3340465594	0.548961516	5581.511747	5582.560647	1.048899242	817	526	0.5631920423	78	10809	0.5060414224000001
123	1	5	0.3311267335	0.4802383481	5588.100704	5589.52956	1.428856529	810	575	0.3420198943	99	10908	0.5386738192
124	5	1	0.6724564246	0.4642542922	5595.079686	5596.898479	1.818792892	809	511	0.6308978019	96	11004	0.460107381
125	4	6	0.3439786828	0.5357082796	5604.488161	5606.596954	2.108793088	805	547	0.4684039789	88	11092	0.430707187
126	2	3	0.6713406974	0.5368880791	5612.187037	5614.465749	2.278712225	805	510	0.6354115192000001	97	11189	0.4961980616
127	6	2	0.4892571735	0.429247769	5621.975491	5626.633925	4.658434019	802	544	0.4819451308	100	11289	0.4903335416
128	4	6	0.3320215289	0.5555000543	5633.173861	5638.322091	5.148229856	795	549	0.4593765442	88	11377	0.5521097819
129	1	5	0.3217021921	0.4299720417	5643.852178	5647.630655	3.778476305	791	578	0.3284787424	100	11477	0.4532728491
130	3	4	0.3315527271	0.5565702332	5653.130732	5655.399443	2.268710341	792	552	0.4458353923	89	11566	0.5891955913
131	2	3	0.6678459245	0.5638660879	5661.109549	5662.538369	1.428819466	802	511	0.6308978019	97	11663	0.4560442263
132	5	1	0.6717765444	0.4155940063	5669.968165	5670.977048	1.008882581	806	507	0.6489526711	98	11761	0.4137815162
133	1	5	0.3473401475	0.5744632352	5678.556836	5680.805527	2.248690606	806	581	0.3149375905	97	11858	0.4347129138
134	2	3	0.6621468129	0.5028804151	5686.385707	5688.284397	1.898689936	811	505	0.6579801057	100	11958	0.415560342
135	3	4	0.3319613106	0.4804609575	5695.704222	5697.742939	2.038717175	802	547	0.4684039789	87	12045	0.591832816
136	4	6	0.3167106254	0.521724989	5703.403032	5705.011825	1.608792661	802	547	0.4684039789	85	12130	0.4751179118
137	5	1	0.6551515848	0.5939271319	5710.541984	5714.710357	4.168373039	809	510	0.6354115192000001	99	12229	0.4136520423
138	6	2	0.8575602012	0.4035887302	5722.020194	5724.808831	2.788637275	805	546	0.4729176962	62	12291	0.4060078398
139	4	6	0.3538492221	0.4889425549	5733.398407	5734.937213	1.538805983	802	615	0.161471202	81	12372	0.4709141304
140	3	4	0.6664654786	0.5605893718	5740.647277	5741.406275	0.7589985457	803	603	0.2156358097	55	12427	0.4504083724
141	5	1	0.6711544598	0.5390468989	5748.956055	5750.774804	1.818749556	809	503	0.6670075403	100	12527	0.5101556853
142	6	2	0.5295933386	0.4026576673	5758.263806	5763.592874	5.32906833	801	603	0.2156358097	69	12596	0.455006158
143	2	3	0.6816998379	0.4130607129	5770.19278	5772.181542	1.988762206	801	502	0.6715212576	99	12695	0.5495239232
144	1	5	0.3575125738	0.5393743548	5779.921288	5781.430192	1.508903251	800	589	0.278827852	93	12788	0.5710497596
145	5	1	0.3351585265	0.596392468	5787.300157	5789.088944	1.788786668	805	501	0.6760349749	66	12854	0.595290102
146	4	6	0.3669997926	0.5210869061	5794.76898	5798.057601	3.288620882	806	542	0.4909725654	88	12942	0.5954953977
147	2	3	0.674824897	0.4478800639	5803.857591	5805.136464	1.278873592	810	508	0.6444389538	97	13039	0.5259763951999999
148	1	5	0.336722681	0.5102402554	5812.776256	5819.104337	6.328081313	805	581	0.3149375905	98	13137	0.5140138544
149	6	2	0.8773514153999999	0.4229610872	5824.624436	5825.7433	1.118863397	807	543	0.4864588481	61	13198	0.4981492686
150	3	4	0.3336933892	0.5760012307	5834.6429	5835.461807	0.8189069316000001	807	543	0.4864588481	85	13283	0.5848831601
